,car_id,name,amount,region,use_type,milage
55,/dE8cEkvYl7NcFl0YiMak3IqS,Renault Laguna 2003 Silver,"₦ 3,150,000","Lagos State, Alimosho",Foreign Used,224342 km
56,/w2i75QaWsFghSgmf71vwyVkv,Volvo XC90 2005 Silver,"₦ 3,432,000","Abuja (FCT), Garki 2",Nigerian Used,193704 km
57,/32iqawGX1gIz4bVFMSPeCBkS,Peugeot 307 X-Line 1.6 Automatic 2006 Silver,"₦ 1,872,000","Akwa Ibom State, Uyo",Nigerian Used,107232 km
58,/acXAdnwSH5fRqOiSNhllwyqB,Toyota Sienna 2002 Red,"₦ 1,680,000","Oyo State, Ibadan",Nigerian Used,239544 km
59,/10WOhN1bJlLtdgBpcubym5UD,Toyota Camry 2008 Red,"₦ 3,045,000","Lagos State, Ikeja",Nigerian Used,243225 km
60,/gcA5XMwoxCf7Wh8vM8GINwfk,Lexus GX 2005 Blue,"₦ 4,708,000","Lagos State, Ilupeju",Nigerian Used,117966 km
61,/eRnk7hcyOGjm99N5zVhVATAA,Honda Accord 2009 Gray,"₦ 2,184,000","Lagos State, Alimosho",Nigerian Used,254063 km
62,/tYixrTzU6GkHwjWhYdUcxdVt,Mazda 6 2009 Silver,"₦ 1,910,000","Abuja (FCT), Garki 2",Nigerian Used,357323 km
63,/b5BzqM9mjlkQ9Otod9L02wIM,Toyota Sienna 2006 Black,"₦ 2,940,000","Lagos State, Lekki",Nigerian Used,215698 km
64,/6mJDuqKq0kvVFGdYVQDbihRN,Nissan Murano 2007 Gray,"₦ 2,100,000","Rivers State, Port-Harcourt",Nigerian Used,183110 km
65,/pRhRpTOaHUepHdi1sIZFxIxQ,Honda Pilot 2005 Silver,"₦ 2,392,000","Lagos State, Ogba",Nigerian Used,329946 km
66,/cyWIsbnhpNWWpEy8uJ7tBwCc,Honda Odyssey 2009 Silver,"₦ 1,575,000","Oyo State, Ibadan",Nigerian Used,206280 km
67,/aEgBBUaNoALvYcZNkuSim0Qi,Toyota Camry 2007 Gold,"₦ 3,640,000","Edo State, Benin City",Nigerian Used,62934 km
68,/aRsaLE0e9Vm7Cim7E9R1zMj1,Toyota Avalon 2015 Black,"₦ 5,775,000","Lagos State, Ikotun/Igando",Nigerian Used,122556 km
69,/5bgtzkO0u9oGXhGwauj4LvDn,Honda Accord 2005 Blue,"₦ 945,000","Edo State, Benin City",Nigerian Used,...
70,/nftiI2IIKxEJFcUd4G9svHZB,Honda CR-V 2006 Silver,"₦ 1,732,500","Lagos State, Ikorodu",Nigerian Used,123521 km
71,/kIgxc54YM53QSGZZ4EhWSJ2c,Hyundai Sonata 2013 Gray,"₦ 3,160,000","Lagos State, Lekki",Nigerian Used,75716 km
72,/nz5nHyEKv7PhrngWsOcNDwBI,Toyota Camry 2004 Silver,"₦ 1,575,000","Abuja (FCT), Jabi",Nigerian Used,297997 km
73,/unMI6oMmLfLGJjDAOt7QJlVX,Honda Pilot 2006 Gray,"₦ 2,313,400","Lagos State, Surulere",Nigerian Used,282569 km
74,/vXD9eCZKN3pxObYsxnHfOaTu,Honda Accord 2016 Black,"₦ 12,080,000","Abuja (FCT), Garki 2",Foreign Used,152190 km
75,/swhd77QGO6wNRzmk0uGvRA8w,Mercedes-Benz C350 2011 Blue,"₦ 5,928,000","Abuja (FCT), Gwarinpa",Nigerian Used,169914 km
76,/dRMdf282mEN2AFl9ROS0QYcu,Honda Accord 2007 Gray,"₦ 2,600,000","Lagos State, Ojodu",Nigerian Used,257626 km
77,/u4syZIGdgibtNwtjFsQosGIT,Honda Civic 2008 Black,"₦ 1,627,500","Abuja (FCT), Gwarinpa",Nigerian Used,210186 km
78,/napjyT7s6gX2KD9RU6FjWK3b,Toyota Sienna 2008 Red,"₦ 2,625,000","Ogun State, Ado-Odo/Ota",Nigerian Used,374110 km
79,/85cVZIU0lf6RcTgZicaoVuXm,Toyota Camry 2008 Black,"₦ 4,160,000","Abuja (FCT), Kubwa",Nigerian Used,245683 km
80,/v65JtAZYXUj5cIdmrTCSCD4q,Toyota Camry 2008 Gray,"₦ 2,772,000","Ondo State, Akure",Nigerian Used,382108 km
81,/klW29PJyRPSR0khAQ7K2zM0s,Volvo XC90 T6 AWD 2005 Gray,"₦ 1,806,000","Lagos State, Ikorodu",Nigerian Used,244035 km
82,/hTC8yivmApGFlkwQpyUGklkC,Mercedes-Benz GLK-Class 2010 White,"₦ 10,192,000","Lagos State, Ikorodu",Nigerian Used,149061 km
83,/6xsBnOkh1bNg9ipQSStKEPgP,Infiniti QX4 2003 Silver,"₦ 2,625,000","Abuja (FCT), Mararaba",Nigerian Used,173781 km
84,/BiLfLNe2i82tUDcg2aVjX8Kx,Toyota Highlander Limited V6 2005 Blue,"₦ 3,024,000","Lagos State, Ikeja",Nigerian Used,229649 km
85,/2sCsqOsYhKrlu6eiAakD0mwq,Mercedes-Benz C300 2011 White,"₦ 4,935,000","Lagos State, Amuwo-Odofin",Foreign Used,153944 km
86,/wPWsTD63jfkZtqZWEz6sjLeu,Ford F-150 2005 Black,"₦ 3,045,000","Abuja (FCT), Garki 2",Nigerian Used,385147 km
87,/CmgzY9ab1PkIo9PvRaPnxPJW,Peugeot 406 2002 Green,"₦ 1,456,000","Abuja (FCT), Garki 2",Nigerian Used,449965 km
88,/x4Myu8iJrBdFp9yCeXpzh8i4,Honda Accord 2010 Green,"₦ 1,984,498","Lagos State, Ikeja",Nigerian Used,139035 km
89,/oMiS5oxBx2eCqp0oSHhSLOZd,Toyota Camry 2005 Silver,"₦ 1,995,000","Abuja (FCT), Jabi",Nigerian Used,213378 km
90,/BQFhITmTEYLSIIq722Gjjibl,Toyota Highlander 2002 Blue,"₦ 2,205,000","Oyo State, Ibadan",Nigerian Used,278343 km
91,/6C8Ybp3vg73Gcu7vLJ9J7ioN,Kia Cerato 2013 Gray,"₦ 6,825,000","Ogun State, Ado-Odo/Ota",Foreign Used,373500 km
92,/7CSfJKc9uTndBQtZ7GCMw1fx,Toyota RAV4 2007 Red,"₦ 6,864,000","Kaduna State, Kaduna / Kaduna State",Foreign Used,182272 km
93,/i6XLVHMvgsUmjPiMWqyg5HoV,Toyota Highlander Limited V6 2006 Black,"₦ 4,368,000","Ondo State, Akure",Nigerian Used,209663 km
94,/rAsMw064bEefPGpfgrAtM6on,Toyota 4-Runner SR5 V6 2007 Gray,"₦ 4,680,000","Lagos State, Isolo",Nigerian Used,146527 km
95,/8ikRr6TjcRzN7qgXzQSfUUlF,Ford Fusion 2010 Black,"₦ 2,415,000","Lagos State, Mushin",Nigerian Used,61710 km
96,/r7rZuTJkDaUzGCOr4YT34QOL,Toyota Highlander 2012 Black,"₦ 7,800,000","Abuja (FCT), Lugbe District",Nigerian Used,214212 km
97,/wVPTZsXn007cKHhuYu9nawfL,Toyota Camry 2.4 LE 2008 Silver,"₦ 3,432,000","Imo State, Owerri",Nigerian Used,236241 km
98,/5Q75dXbPAt7IyVzH5AwmaEJ4,Lexus IS 2009 White,"₦ 4,992,000","Lagos State, Ikorodu",Nigerian Used,103167 km
99,/6vI7bjQE7J4RKMQGAjPYFEdJ,Hyundai Sonata 2018 White,"₦ 8,925,000","Lagos State, Lekki",Nigerian Used,113523 km
100,/p7dAh4IhPbpx9xuHNgyxRnPF,Volkswagen Beetle 2008 Gold,"₦ 2,835,000","Abuja (FCT), Jabi",Foreign Used,90330 km
101,/aXHkNgraeeP5111ITqEfEUd0,Toyota Camry 2005 Gold,"₦ 2,310,000","Ondo State, Akure",Nigerian Used,257109 km
102,/aWKUp8ssBEQi99i8sBqImXZe,Toyota Avalon 2019 Silver,"₦ 29,280,000","Lagos State, Lekki",Foreign Used,16476 km
103,/8MathyZlpKh4Ld7rlm9Oh0KQ,Honda Accord 2005 Gray,"₦ 1,820,000","Abuja (FCT), Kubwa",Nigerian Used,165026 km
104,/CsL18SzxFBFWZvm8ciY507X8,Toyota Tacoma 2013 Gray,"₦ 14,040,000","Abuja (FCT), Mararaba",Foreign Used,45097 km
105,/7KH288hWSRMypLkH5e2zzb6O,Toyota Camry 2003 Silver,"₦ 2,392,000","Kwara State, Ilorin East",Nigerian Used,258200 km
106,/3wGLEH1ub78ySvFmXptqyaRu,Mazda MPV 2004 White,"₦ 1,680,000","Lagos State, Ojodu",Nigerian Used,155060 km
107,/oJFjxUYaF6rNrjpUWGFYqBPO,Honda Ridgeline RTL 2006 Silver,"₦ 3,442,500","Anambra State, Onitsha",Nigerian Used,319452 km
108,/raiDalGQ6QXjLbDcbRfoKN1P,Toyota Fortuner 2014 Beige,"₦ 11,550,000","Lagos State, Ikorodu",Nigerian Used,186226 km
109,/A4YzbxzDXxpV6e5uhNP6m3sw,Nissan Murano SE 2004 Black,"₦ 1,575,000","Lagos State, Ikeja",Nigerian Used,258733 km
110,/p4whXvGy4R6eZ4CqEMsxH6np,Nissan Sentra 2006 Gray,"₦ 1,365,000","Lagos State, Yaba",Nigerian Used,480753 km
111,/348MWd8WAgUFMDRfuV10kxb1,Toyota Camry 2006 Silver,"₦ 2,808,000","Abuja (FCT), Wuse",Nigerian Used,153575 km
112,/53p6cLa3SHFnToYuomlcgs1A,Toyota RAV4 2003 Silver,"₦ 1,785,000","Abuja (FCT), Mararaba",Nigerian Used,195556 km
113,/nPLsSHFVoJ0Q6P2GQyBRtB6E,Honda Ridgeline 2008 Silver,"₦ 3,990,000","Lagos State, Ojodu",Foreign Used,153864 km
114,/aknCBjfrmzbBBrpP9LYswGXM,Ford Edge 2007 Black,"₦ 2,205,000","Lagos State, Alimosho",Nigerian Used,171589 km
115,/rh0kPj1H1IyJfBrTnNw7wwJ1,Mercedes-Benz C230 2007 Silver,"₦ 2,310,000","Abuja (FCT), Garki 2",Nigerian Used,60919 km
116,/5xEMOXskcyOc0VRxKzkpycIc,Toyota Camry 2007 White,"₦ 3,432,000","Oyo State, Ibadan",Nigerian Used,197298 km
117,/bw4lZjUKmzVAKgBiQX2YXgmh,Kia Cerato 2007 Black,"₦ 1,050,000","Abuja (FCT), Jabi",Nigerian Used,227161 km
118,/8kO8vIlDUL9hwq4UQF59IOGr,Toyota Camry 2002 Black,"₦ 2,080,000","Lagos State, Alimosho",Nigerian Used,142548 km
119,/fMchgCjAlvJhcZTwr59I4bTu,Acura MDX 2007 White,"₦ 3,640,000","Lagos State, Magodo",Nigerian Used,205117 km
120,/glfIqFyju2DLVCXetJ5mT9fc,Mercedes-Benz GL-Class 2007 Silver,"₦ 5,200,000","Lagos State, Alimosho",Nigerian Used,159228 km
121,/pfJuJENei58C06xMPrNfIFrw,Kia Rio 2009 Blue,"₦ 1,260,000","Lagos State, Victoria Island",Nigerian Used,97117 km
122,/xF8f2NuLH49oYJD8rj4gqvMA,Volkswagen Passat 2007 Black,"₦ 2,080,000","Oyo State, Ibadan",Nigerian Used,134588 km
123,/yrAgw6vy6gMa5bOTUV42MczZ,Nissan Almera 2000 Green,"₦ 1,155,000","Oyo State, Ibadan",Nigerian Used,275045 km
124,/cjJgPXhw3Q0aJ1iBNjIDqXxG,Toyota Camry 2006 Silver,"₦ 3,120,000","Abuja (FCT), Kubwa",Nigerian Used,194295 km
125,/l8hAExlQTZzvswPb8L25pjuM,Mercedes-Benz R-Class 2006 Silver,"₦ 2,100,000","Oyo State, Ibadan",Nigerian Used,...
126,/imT8hmyyzGNzLUIPOcyWT79N,Toyota Camry 2009 Gray,"₦ 4,239,375","Lagos State, Mushin",Foreign Used,341645 km
127,/oONdoozdphWr37Lt7Vm3Oz4D,Mercedes-Benz M Class 2006 Red,"₦ 4,680,000","Lagos State, Alimosho",Nigerian Used,...
128,/cKqwlJGLNlXElOwaKWOyZ1R4,Toyota Land Cruiser Prado 2.7 VVT-i 2014 Black,"₦ 14,070,000","Lagos State, Ikeja",Nigerian Used,141321 km
129,/yDjTaH2LxpWTGSJoZisMWw5v,Mercedes-Benz G-Class 2013 White,"₦ 19,740,000","Lagos State, Ikeja",Nigerian Used,259362 km
130,/P7XwI9ctP5IGEtV85ECK4io,Mercedes-Benz GLK-Class 2010 Silver,"₦ 6,800,000","Lagos State, Alimosho",Nigerian Used,362790 km
131,/iJK73u9yh6qIANL49UjGyqS,Toyota Matrix 2006 Red,"₦ 2,467,500","Abuja (FCT), Jabi",Nigerian Used,138581 km
132,/jYGRuThnkZbgZY9qs4n90u55,Kia Cerato 2016 Silver,"₦ 3,360,000","Ondo State, Akure",Nigerian Used,137952 km
